Location,Total Dispensed,Total SurWD Trxs,Total SurWD Commission
American Legion Post 234,53280.0,490,0.0
Pastime Grill & Pub,26920.0,280,0.0
The Lab Sports and Fitness,0.0,0,0.0
Mac's Hideaway,28320.0,450,0.0
Copper Kettle,8700.0,85,0.0
VFW 3281,38880.0,413,0.0
Mill creek VFW Post 542 Louisville,25780.0,237,0.0
VFW Hobart Beach Post,51320.0,498,0.0
Storz Cash Festival,3080.0,44,0.0
Kindred Hospital Louisville,19160.0,306,0.0
VFW 6582 Scott County,8960.0,83,103.75
Elks Lodge #270,25140.0,288,216.0
Krazy Daves,5520.0,66,0.0
Hoopsters Jeffersonville,11520.0,91,0.0
VFW Post 1083,29420.0,251,0.0
Pizza Place @ Hikes Point,44960.0,344,0.0
VFW 1427,14520.0,127,95.25
Our Lady of Perpetual Hops,3180.0,61,0.0
Calumet Club,4480.0,56,0.0
Hyatt House Louisville - East,14080.0,125,0.0
Residence Inn Louisville Old Henry,7140.0,72,0.0
Holiday Inn Louisville Downtown,9380.0,86,0.0
Pride Bar,8300.0,174,0.0
Round One Bowling Louisville,9480.0,101,0.0
Vic's Cafe,113580.0,1232,0.0
AmVets Daniel Boone Post,12940.0,155,0.0
Ice Arena,980.0,21,0.0
American Legion #204,40320.0,341,0.0
VFW #1832,12840.0,183,0.0
Knights of Columbus Bingo Hall,48320.0,446,223.0
Bonnie Sloan Post 28,72520.0,773,579.75
American Legion #335,44560.0,441,330.75
Micks Lounge,82860.0,1159,0.0
Hoosier Hills,51860.0,606,0.0
Fraternal Order of Eagles #1527,71920.0,757,0.0
Resch's Tavern,25160.0,263,0.0
American Legion Post 42,31540.0,253,0.0
