Bill to Business Code,Device Number,Location,SurWD Trxs,Inq Trxs,Denial Trxs,Reversal Trxs,Total Trxs,Total Surcharge,Business Surcharge,Total Interchange,Business Interchange,Business Addl Revenue,Business Credits/Debits,Business Total Income,Non-Sur WD Trxs,Total Dispensed Amount
,P608086,MALL ST MATTHEWS 1,324,116,62,0,502,"$1,279.80",,,,,,,,"$36,440"
,P608087,MALL ST MATTHEWS 2,281,85,44,1,411,"$1,109.95",,,,,,,,"$35,500"
,P608085,OXMOOR CENTER,194,59,31,0,284,$766.30,,,,,,,,"$22,300"
02-UIDK3A,CS64854,American Legion Post 234,147,25,1,0,173,$439.5300,$439.5300,$52.5688,$23.5088,$0.0000,$0.0000,$463.0388,0,"$15,160"
02-UIDK3A,CS64854,American Legion Post 234,169,42,16,0,227,$505.3100,$505.3100,$62.2453,$26.0253,$4.5000,$0.0000,$535.8353,0,"$19,820"
02-UIDK3A,CS64854,American Legion Post 234,174,30,17,0,221,$520.2600,$520.2600,$68.1145,$32.0945,$0.0000,$0.0000,$552.3545,0,"$18,300"
02-UIDK3A,CS71245,Pastime Grill & Pub,64,14,0,0,78,$127.3600,$127.3600,$19.9453,$7.0253,$18.0000,$0.0000,$152.3853,0,"$6,420"
02-UIDK3A,CS71245,Pastime Grill & Pub,75,19,1,0,95,$149.2500,$149.2500,$24.9561,$9.4561,$9.0000,$0.0000,$167.7061,0,"$6,420"
02-UIDK3A,CS71245,Pastime Grill & Pub,141,38,15,0,194,$280.5900,$280.5900,$48.0497,$17.3697,$22.5000,$0.0000,$320.4597,0,"$14,080"
02-UIDK3A,CS71379,The Lab Sports and Fitness,,,,,,,$0.0000,,$0.0000,$0.0000,$0.0000,$0.0000,,
02-UIDK3A,CS71379,The Lab Sports and Fitness,,,,,,,$0.0000,,$0.0000,$0.0000,$0.0000,$0.0000,,
02-UIDK3A,CS71379,The Lab Sports and Fitness,,,,,,,$0.0000,,$0.0000,$0.0000,$0.0000,$0.0000,,
02-UIDK3A,CS73041,Mac's Hideaway,146,38,13,0,197,$290.5400,$290.5400,$43.0825,$11.7025,$9.0000,$0.0000,$311.2425,0,"$9,980"
02-UIDK3A,CS73041,Mac's Hideaway,146,44,12,0,202,$290.5400,$290.5400,$44.2655,$12.3855,$0.0000,$0.0000,$302.9255,0,"$8,380"
02-UIDK3A,CS73041,Mac's Hideaway,158,37,11,0,206,$314.4200,$314.4200,$49.5041,$16.2641,$0.0000,$0.0000,$330.6841,0,"$9,960"
02-UIDK3A,CS81963,Copper Kettle,23,10,1,0,34,$45.7700,$45.7700,$7.1022,$1.8622,$0.0000,$0.0000,$47.6322,0,"$2,680"
02-UIDK3A,CS81963,Copper Kettle,31,8,0,0,39,$61.6900,$61.6900,$11.7772,$5.3972,$0.0000,$0.0000,$67.0872,0,"$3,080"
02-UIDK3A,CS81963,Copper Kettle,31,12,0,0,43,$61.6900,$61.6900,$9.9129,$3.1329,$0.0000,$0.0000,$64.8229,0,"$2,940"
02-UIDK3A,CS85704,VFW 3281,119,0,3,0,122,$238.0000,$238.0000,$35.2887,$13.5687,$0.0000,$0.0000,$251.5687,0,"$12,700"
02-UIDK3A,CS85704,VFW 3281,120,1,5,0,126,$240.0000,$240.0000,$36.8267,$14.6267,$4.5000,$0.0000,$259.1267,0,"$11,480"
02-UIDK3A,CS85704,VFW 3281,174,4,15,0,193,$348.0000,$348.0000,$55.6274,$22.4074,$0.0000,$0.0000,$370.4074,0,"$14,700"
02-UIDK3A,CS91106,Mill creek VFW Post 542 Louisville,75,18,1,0,96,$225.0000,$168.7500,$27.7136,$0.0000,$0.0000,$0.0000,$168.7500,2,"$8,280"
