Type,Amount,Date,Time,AM/PM,Description,Plaza,Bridge,Lane,Direction,Transponder,Plate,
Discount,$1.11,5/31/2022,6:52:54,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/31/2022,9:00:16,AM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,5/27/2022,6:02:12,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,4/29/2022,5:52:15,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,4/29/2022,8:55:20,AM,BridgeClubDiscount,,,,,,,
Discount,$1.11,4/28/2022,6:31:44,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,4/28/2022,8:41:43,AM,BridgeClubDiscount,,,,,,,
Discount,$1.11,4/27/2022,6:21:20,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,4/27/2022,6:21:20,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,4/27/2022,6:21:20,PM,BridgeClubDiscount,,,,,,,
Discount,$1.11,4/27/2022,6:21:20,PM,BridgeClubDiscount,,,,,,,
